City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Mackenzie,CA,55.2999,-123.1698,43.02,81,90,5.75,overcast clouds
120,Mareeba,AU,-17.0,145.4333,86.32,53,6,11.52,clear sky
121,Agirish,RU,61.9247,63.0231,34.45,73,38,12.84,scattered clouds
122,Buala,SB,-8.145,159.5921,84.83,71,87,5.17,light rain
123,Lebu,CL,-37.6167,-73.65,48.96,94,9,9.84,clear sky
124,Castro,BR,-24.7911,-50.0119,56.05,95,100,9.35,overcast clouds
125,Plouzane,FR,48.3833,-4.6167,53.65,97,0,3.44,clear sky
126,Noyabrsk,RU,63.1994,75.4507,34.34,77,91,24.45,overcast clouds
127,Malanville,BJ,11.8685,3.3899,79.68,62,86,4.52,overcast clouds
128,Nyurba,RU,63.2842,118.3319,37.49,80,100,12.48,overcast clouds
129,Jizan,SA,17.3333,42.6667,79.74,69,100,2.33,overcast clouds
130,Ostrovnoy,RU,68.0531,39.5131,35.64,85,100,4.81,overcast clouds
131,Manono,CD,-7.3,27.4167,74.48,65,100,0.78,overcast clouds
132,Goderich,CA,43.7501,-81.7165,65.91,88,62,11.5,broken clouds
133,Malabo,GQ,3.75,8.7833,78.69,87,100,4.83,moderate rain
134,Tongchuan,CN,35.0806,109.0897,54.12,93,100,5.03,overcast clouds
135,Lompoc,US,34.6391,-120.4579,58.01,75,75,12.66,broken clouds
136,Jining,CN,35.405,116.5814,67.87,82,92,3.02,overcast clouds
137,Berezovyy,RU,51.6667,135.7,49.73,52,100,3.6,overcast clouds
138,Salalah,OM,17.0151,54.0924,78.89,78,20,3.44,few clouds
139,Novyy Urgal,RU,51.0736,132.5642,48.25,59,100,3.6,overcast clouds
140,Fortuna,US,40.5982,-124.1573,56.66,76,99,3.29,overcast clouds
141,San Ramon,US,37.7799,-121.978,57.69,76,75,3.0,broken clouds
142,Ilulissat,GL,69.2167,-51.1,24.82,39,38,13.8,scattered clouds
143,Gat,IL,31.61,34.7642,72.39,70,0,3.83,clear sky
144,Fort-Shevchenko,KZ,44.5086,50.263,48.09,40,0,7.87,clear sky
